,S&P 500,Nasdaq 100,US Small Caps,Euro Stoxx 50,UK FTSE,MSCI EM,Japan,US IG,US HY,EU IG,EU HY,EM Bond,Gold,Commodity
ETF 1 ,0.9999999999999998,0.9324457401810704,0.8745116850953575,0.6180390824703399,0.559182274129888,0.4249024657765733,0.21262721686550468,0.21307044860687727,0.6434575185110525,0.1870635269390072,0.4245051129534609,0.45011877733273237,0.08904227743515106,0.2974656228102413
ETF 2,0.9701611020210268,0.8923831286949608,0.8739770200921896,0.7430054514879251,0.6752064706234513,0.5434575684976449,0.3326457851552281,0.27132061740617763,0.719029180670373,0.2348991799820349,0.5241701812645326,0.5502594565285192,0.1383552353944775,0.34719883435915416
ETF 3,0.4303201057890226,0.3817761406517395,0.41199280976872454,0.5499574863961039,0.5413332058523106,0.9987021768980372,0.5236968674040434,0.19063503335788343,0.5479366316477032,0.2280527683349311,0.6053446915906217,0.56746077767767,0.12347890237433405,0.3227841614749784
ETF 4,0.9485413361359858,0.8689936445558042,0.8573058396255421,0.7610787410028984,0.696830236099086,0.6312993248882109,0.38081314329919613,0.27643126621722774,0.7359927071891894,0.24850548730755576,0.5649004924543981,0.5835556175734653,0.14411609354024224,0.3619209250976359
ETF 5,0.5591866618006045,0.4155216492463512,0.5618868315717688,0.8562017444133662,0.9999997824409356,0.5340413074911936,0.3373903495362156,0.13774649378404538,0.5615319225287042,0.11031274490556595,0.5031729713635218,0.4837876154743007,0.03594337084599913,0.32259053340959426
ETF 6,0.9801003235467404,0.8963017257818889,0.8814716100437361,0.612454945231839,0.5568242481200073,0.4119733429863123,0.20880133668781634,0.2326201347087993,0.643631461248672,0.19949102474615416,0.42114917669745777,0.4541083450281996,0.10998455762269833,0.29539598494829783
ETF 7,0.1882068747577613,0.17462566739609192,0.19827932022719497,0.1752396388714215,0.10730520219604567,0.20553885863998309,0.12888367118857014,0.6031445368237128,0.4852306381174224,0.9858514624022795,0.505974590466335,0.5587541609203762,0.2363570260694965,0.07107473251675693
ETF 8,0.1309858902369606,0.12035758954165492,0.1275169393516941,0.08127789728605422,0.09189501820642099,0.20797845348514354,0.03397798615461223,0.24914226943347229,0.20017093389917395,0.24874632183061218,0.16711720937944805,0.2880017012331076,0.7527309790810943,0.3171320870391976
ETF 9,0.9411366582883671,0.8804367576548442,0.8118827608564925,0.5352619407230087,0.5003249866219642,0.32394733849428703,0.16981478312607684,0.11724067990228011,0.523761258440605,0.1443397632271275,0.3428768197585254,0.31803420945973326,-0.029119928881191786,0.23234838506866873
ETF 10,0.4501187749504272,0.3821517695196515,0.4267150426235367,0.5267512148588634,0.4837603763671422,0.5531184179875032,0.29701904865426454,0.6138178235200078,0.7680278406803068,0.5688176324909912,0.6968143108347763,0.999999999999998,0.20730395094127688,0.2100581404728478
ETF 11,0.21307044864741878,0.21384698687428064,0.21239706456417545,0.19180762984557745,0.13770138834475587,0.18336518012456546,0.13583259073314013,0.9999999999999981,0.5605604237185006,0.5966833227116852,0.38769037617487795,0.6138178220840309,0.31699636460248465,0.07686494321752872
ETF 12,0.9324525175126194,0.9999990906740002,0.7703821254439372,0.51521714004413,0.4155458654463816,0.3798744100731479,0.16541338797515656,0.21388458426757595,0.5579897368795895,0.17291986058287165,0.3183817267829354,0.3821275233338893,0.08722575279946904,0.22839215539555568
ETF 13,0.630394748723843,0.6017909676144099,0.6919341505995684,0.5475927870095938,0.5089961744893515,0.5033053043777334,0.24913561540807658,0.29129625057606096,0.5659668646712426,0.2436568792220338,0.4130780389321051,0.4826137736963273,0.18654421720339695,0.28801983761153327
ETF 14,0.6279857951795677,0.5121454045750282,0.614140791994704,0.9701392323548566,0.9067154319752214,0.5662697457472491,0.3485975067746451,0.20000092288323607,0.6311646571057968,0.20183574234347676,0.5535756974260726,0.5388399415977467,0.05190550769446759,0.3165733340267256
ETF 15,0.17381035716973933,0.15804769115188416,0.17396356816287192,0.11307665196263654,0.09404702234765673,0.16503880438739643,0.11768446326610921,0.8445829229029117,0.5407981232579873,0.5894976282324685,0.37322351171240786,0.543948008931102,0.31436194643053683,0.08102592604716623
ETF 16,0.9983922299814679,0.9409033580807616,0.8782569835294872,0.616218810693368,0.5505835352846914,0.42463065579966935,0.21083347583198145,0.22321977494551423,0.6436549759679845,0.19224720882984453,0.418863061484888,0.45101967241287894,0.09195514054432585,0.2874566203288216
ETF 17,0.9424884506694591,0.8655309710420921,0.8578384509818846,0.7520736923007837,0.6715719479951151,0.5434619704959651,0.3427413478000663,0.29912277565211,0.7230193204167934,0.25494973928367176,0.5231804311219418,0.562147995857927,0.16161424953780756,0.33322827151687384
ETF 18,0.9641467902996788,0.8876149788665605,0.8679793245651467,0.7506653003599797,0.6937892365125257,0.6057726935373695,0.3686200385856841,0.23981604929404868,0.7099181795466714,0.22194686960822935,0.5419836173517284,0.5463702385571944,0.099808874470302,0.343526600973589
ETF 19,0.999093886870474,0.9400122438993854,0.8793498350195388,0.6156827809961437,0.5536738963698709,0.42886635330347833,0.21349140906924624,0.2203459157259094,0.6456439242404168,0.19095060543132572,0.4247251744391726,0.45338733873724996,0.09225989091873837,0.29617251048431686
ETF 20,0.09661027566194569,0.11436951555886984,0.1149904177779734,0.10825479475436631,0.020862033482981646,0.1959743636411979,0.04899450122203997,0.7734008620695556,0.43052813676303603,0.6506549853091419,0.27226644799159766,0.5656025440438245,0.4630924552224199,0.11739034122020352
ETF 21,0.0770123957881486,0.07711772913789114,0.07816001234184042,0.1442110531877819,0.12539312503805503,0.42486339391867967,0.12889764114758864,0.07505564118986786,0.20570759506921568,0.13713554658815694,0.21024802056733888,0.2297592891910631,0.15169285273636696,0.14439964764053748
ETF 22,0.9530779753906583,0.8756487887990283,0.8615176308514407,0.7556128731321098,0.6912363289866952,0.6239040252828809,0.37071745083647534,0.2750043488392882,0.7331221768400241,0.24504691357536793,0.5574992405136915,0.5780954934953213,0.14326852861142494,0.36102867411514417
ETF 23,0.9906568517124786,0.9390897353422312,0.8627030136982125,0.6139877140162341,0.5437135832383935,0.4200810674246686,0.2106183873982911,0.22285538158455495,0.6367047906849846,0.19347276301856828,0.412525067603448,0.4482216572595168,0.08371951176520996,0.2735042587632176
ETF 24,0.6266080799616882,0.5133799741355211,0.6130570112688584,0.9707401051578979,0.9009137183118753,0.5682866579948183,0.3485858387926706,0.20589287565721007,0.6369521851888004,0.20787678194668846,0.5582697842023983,0.5443906256369357,0.05449820616429094,0.31548358865640214
ETF 25,0.6050941285371535,0.5018024994550685,0.5983858602490726,0.9737750968690508,0.827820000950106,0.5231652120825019,0.32724778705895957,0.19935937979958623,0.5946506573597008,0.185630767227799,0.5259512745455779,0.5143975612352412,0.04958671215287164,0.2594793132482764
ETF 26,0.6395585450580554,0.5509979535659709,0.6149196296270372,0.6023982673924663,0.5597476815812137,0.5281571339013748,0.2875032458157401,0.57112755496129,0.9960075272479126,0.4947296222819109,0.7347891237018783,0.7714345366035793,0.14554723858374274,0.30115731213824676
ETF 27,0.6180390821661664,0.5151941583924684,0.6095497922983829,0.9999999999999996,0.8562015990207754,0.5420205070940622,0.33009395584041895,0.19180762839680907,0.6082873153383845,0.1809621026492951,0.5275663555227548,0.5267512151952528,0.03945097705552133,0.2764265822139249
ETF 28,0.9398751727165255,0.8672326711473034,0.8350550443302026,0.6691214720397911,0.6287083767983515,0.4417830124620345,0.2926307791295191,0.16675495540996896,0.6028967484560384,0.19161223414476936,0.4439402144692078,0.4117101981166872,7.377811888889126e-05,0.28031357142179225
ETF 29,0.9782320018328012,0.8995422383902527,0.880985346575661,0.6099259360057397,0.5494289209109913,0.40850725174872304,0.20679093796622944,0.2425782452851226,0.6441380593317999,0.20852822801269497,0.4185458456917074,0.4569442828935619,0.10923535654737551,0.28086817335833086
ETF 30,0.42490246518371694,0.37990052722735324,0.40739424208060077,0.5420205059538798,0.5340468693751862,0.9999999999999996,0.5150006786118095,0.18336518162247423,0.5343527682618915,0.21912178061844995,0.5884750330023397,0.5531184196209006,0.1237237020456027,0.3211143446191947
ETF 31,0.8724372882003466,0.6670627139713897,0.8652834298388826,0.6022670879399113,0.6025096572011592,0.3699504472841648,0.19410360352327066,0.16822470653181745,0.6035455515359355,0.18206901604175413,0.4260444753114936,0.4160853589548844,0.07485713792259732,0.2966932748863841
ETF 32,0.9996163571528568,0.9318138873627655,0.8738467367377851,0.6186695383799974,0.5597665496713121,0.4253756460464135,0.21457135073175784,0.21829920273457068,0.6448460032851171,0.1875433136829133,0.42584617912259515,0.45168157718770047,0.09034960838807425,0.2961164253682705
ETF 33,0.997701519765659,0.9481290347295931,0.8755116375033358,0.6126795792643838,0.5452416894420992,0.4276342097243181,0.2115790459439846,0.221890365514207,0.6422724557590933,0.19345723945898793,0.41881651200702447,0.45075572434971756,0.08861929297155983,0.28671626215455054
