ETF,ann_return,ann_vol,sharpe,max_drawdown,risk_bucket,best_asset_class,best_correlation
ETF 1 ,0.18158009252706364,0.20406953519411164,0.8897951982609459,-0.3383087351398175,High,S&P 500,0.9999999999999998
ETF 2,0.15219236361691468,0.17451040061730635,0.8721105623421601,-0.34033249312172753,Medium,S&P 500,0.9701611020210268
ETF 3,0.0710881090470612,0.16479351286695304,0.4313768655714899,-0.3686660275512359,Medium,MSCI EM,0.9987021768980372
ETF 4,0.13922335569068878,0.16349521554029822,0.8515439135671409,-0.33709992384418275,Medium,S&P 500,0.9485413361359858
ETF 5,0.09577453512589429,0.16860050834195933,0.5680560282276387,-0.3421829783377498,Medium,UK FTSE,0.9999997824409356
ETF 6,0.1855210283126898,0.20337848187863977,0.912195954060637,-0.3320287147306229,High,S&P 500,0.9801003235467404
ETF 7,0.0024764653802022973,0.0392758725878042,0.0630530963931093,-0.17323566083691166,Low,EU IG,0.9858514624022795
ETF 8,0.1328828364980561,0.14665896327773073,0.906066929209185,-0.21207943285511155,Medium,Gold,0.7527309790810943
ETF 9,0.19152213776292792,0.2062986443839109,0.9283732248211739,-0.33627909921482424,High,S&P 500,0.9411366582883671
ETF 10,0.02242682895003667,0.0820403230569952,0.27336348900596436,-0.28924049440857535,Low,EM Bond,0.999999999999998
ETF 11,0.026495542498496283,0.08657708319709342,0.3060341318981487,-0.2501433276477584,Low,US IG,0.9999999999999981
ETF 12,0.2587004498283454,0.24802454311041702,1.0430437511709298,-0.35168809462534634,High,Nasdaq 100,0.9999990906740002
ETF 13,0.15903554423113175,0.28331948548946734,0.5613293556437863,-0.5999911790557312,High,US Small Caps,0.6919341505995684
ETF 14,0.1250202526337223,0.16833168994472475,0.7427018208798077,-0.35253968679026204,Medium,Euro Stoxx 50,0.9701392323548566
ETF 15,0.023054785476629647,0.02429679311927764,0.9488818282910532,-0.07600530979206421,Low,US IG,0.8445829229029117
ETF 16,0.17908475019338055,0.20731044996334308,0.8638481573169445,-0.3371559295601201,High,S&P 500,0.9983922299814679
ETF 17,0.1537674058172025,0.17063261643232835,0.9011606868150295,-0.3222943863198968,Medium,S&P 500,0.9424884506694591
ETF 18,0.15100203606278995,0.1606666901279119,0.9398465602457633,-0.32394589949662167,Medium,S&P 500,0.9641467902996788
ETF 19,0.1825262714880993,0.2063831054046404,0.8844051024924413,-0.3416015243876681,High,S&P 500,0.999093886870474
ETF 20,-0.006494063586504728,0.05606418352353788,-0.11583266139563546,-0.25669302250614967,Low,US IG,0.7734008620695556
ETF 21,0.03351557293890317,0.0438382763894556,0.7645276160301926,-0.11103077106222925,Low,MSCI EM,0.42486339391867967
