,Replicated_Mystery2
Unnamed: 1,1.717893701591316e-18
Unnamed: 2,2.6800078539519733e-18
Unnamed: 3,5.934203377876155e-18
Unnamed: 4,3.9397670466900966e-18
Unnamed: 5,0.10197082798869285
Unnamed: 6,0.00014513804367681383
Unnamed: 7,0.0
Unnamed: 8,0.0
Unnamed: 9,1.023351490200682e-18
Unnamed: 10,5.858343237016309e-18
Unnamed: 11,2.7277455836101427e-18
Unnamed: 12,1.7329473689070497e-18
Unnamed: 13,0.034154659075071744
Unnamed: 14,0.03006841883707661
Unnamed: 15,0.0
Unnamed: 16,3.9686493330750826e-19
Unnamed: 17,0.0
Unnamed: 18,1.2084547912806171e-18
Unnamed: 19,0.0
Unnamed: 20,3.182030175367951e-18
Unnamed: 21,8.679806323547352e-19
Unnamed: 22,3.9983552383991026e-18
Unnamed: 23,1.4005118534622484e-18
Unnamed: 24,0.015462323051121527
Unnamed: 25,0.006577692333425048
Unnamed: 26,4.1226706992243774e-18
Unnamed: 27,4.688554263141717e-19
Unnamed: 28,0.0
Unnamed: 29,0.07814630768850346
Unnamed: 30,0.013114495612226591
Unnamed: 31,0.07339978419925951
Unnamed: 32,2.9290839661781755e-18
Unnamed: 33,0.0
Unnamed: 34,0.0
Unnamed: 35,0.0
Unnamed: 36,2.3152219397628766e-18
Unnamed: 37,6.796494168044224e-18
Unnamed: 38,0.0
Unnamed: 39,1.9855892291106284e-18
Unnamed: 40,1.3046856964998142e-18
Unnamed: 41,1.762062519415431e-18
Unnamed: 42,0.0
Unnamed: 43,0.0
Unnamed: 44,0.0
Unnamed: 45,2.653141053669355e-18
Unnamed: 46,3.1657623994945223e-18
Unnamed: 47,0.01034917437196136
Unnamed: 48,0.0
Unnamed: 49,0.057245962514067245
Unnamed: 50,0.0
Unnamed: 51,0.02957176195316268
Unnamed: 52,0.0
Unnamed: 53,0.022687402348700796
Unnamed: 54,0.0
Unnamed: 55,0.20468352302705609
Unnamed: 56,0.0
Unnamed: 57,1.8501597818735223e-18
Unnamed: 58,4.329259637735199e-18
Unnamed: 59,2.0813979563118556e-18
Unnamed: 60,0.0
Unnamed: 61,1.4683228910280365e-19
Unnamed: 62,0.011301926988596521
Unnamed: 63,1.7194226316026273e-18
Unnamed: 64,1.2391157704513018e-18
Unnamed: 65,0.0
Unnamed: 66,0.0
Unnamed: 67,0.0
Unnamed: 68,1.2023742698783703e-18
Unnamed: 69,1.5663676418764646e-18
Unnamed: 70,9.8194258202767e-19
Unnamed: 71,0.0037059484518374157
Unnamed: 72,0.0
Unnamed: 73,0.004502159924182421
Unnamed: 74,0.0
Unnamed: 75,0.0
Unnamed: 76,0.0
Unnamed: 77,0.0
Unnamed: 78,0.0
Unnamed: 79,0.025873030747959557
Unnamed: 80,8.345057353207188e-19
Unnamed: 81,0.0
Unnamed: 82,0.0
Unnamed: 83,0.0
Unnamed: 84,4.1347736076231215e-19
Unnamed: 85,0.0
Unnamed: 86,1.4176704101669697e-19
Unnamed: 87,2.3926794927968136e-19
Unnamed: 88,0.012302956754417733
Unnamed: 89,0.0
Unnamed: 90,0.0
Unnamed: 91,9.541645510921986e-19
Unnamed: 92,2.1865915129188325e-19
Unnamed: 93,2.9402447786925703e-18
Unnamed: 94,1.0843185915509605e-18
Unnamed: 95,0.23011531454402193
Unnamed: 96,0.0
Unnamed: 97,0.0
Unnamed: 98,0.03353162690699415
Unnamed: 99,3.464523201921573e-05
Unnamed: 100,1.562187468009692e-20
Unnamed: 101,0.0010549194059685824
Unnamed: 102,3.0676737860653273e-18
Unnamed: 103,0.0
Unnamed: 104,0.0
Unnamed: 105,1.207434721733015e-18
